path,slot,concept_id,category,location_tier,bytes,content_hash,basename_group,duplicate_count_same_basename,is_production_canonical,wired_in_vocab,wired_in_v2_full,wired_in_golden_path,style_family,style_bible_fit,registry_status,registry_notes,suggested_decision,duplicate_paths_same_basename
assets/_originals/images/explainers/anatomy-101.png,explainer,anatomy-101,,original,759449,496e63b34e6ebae2,explainer:anatomy-101.png,2,false,false,false,false,unknown,master-archive,,,keep-until-cut,assets/images/explainers/anatomy-101.png
assets/images/explainers/anatomy-101.png,explainer,anatomy-101,,shell-production,64868,798a44a3e58cf756,explainer:anatomy-101.png,2,false,false,false,false,unknown,matches,,,review,assets/_originals/images/explainers/anatomy-101.png
native://diagram/angling,diagram,angling,technique,native-code,,,diagram:angling,1,true,true,true,true,interactive-skia,matches,wired,Rendered in ConceptDiagrams.swift + components/diagrams/*.tsx,keep,
assets/images/concepts/illustrations/angling.png,illustration,angling,technique,production,179518,910593509bcac762,illustration:angling,2,true,true,true,true,scientific-anatomical,matches,wired,In-image titles/labels — regen with no-text prompt,keep,ios-native/Sources/PleasureVocabularyApp/Resources/media/illustrations/angling.png
ios-native/Sources/PleasureVocabularyApp/Resources/media/illustrations/angling.png,illustration,angling,technique,ios-copy,179518,910593509bcac762,illustration:angling,2,false,false,false,false,scientific-anatomical,duplicate,,,consolidate-delete-copy,assets/images/concepts/illustrations/angling.png
assets/_originals/images/concepts/angling.png,other,angling,technique,original,4972653,73fa06348cf1cf98,other:angling.png,1,false,false,false,false,scientific-anatomical,master-archive,,,keep-until-cut,
assets/images/concepts/thumbnails/angling.png,thumbnail,angling,technique,production,108847,600b705a201710a7,thumbnail:angling,2,true,true,false,false,abstract-glyph,off-brief,wired,In-image titles/labels — regen with no-text prompt,keep-until-regen,ios-native/Sources/PleasureVocabularyApp/Resources/media/thumbnails/angling.png
ios-native/Sources/PleasureVocabularyApp/Resources/media/thumbnails/angling.png,thumbnail,angling,technique,ios-copy,108847,600b705a201710a7,thumbnail:angling,2,false,false,false,false,abstract-glyph,duplicate,,,consolidate-delete-copy,assets/images/concepts/thumbnails/angling.png
assets/images/concepts/illustrations/body-appreciation.png,illustration,body-appreciation,psychological,production,207227,696758a28a4ec944,illustration:body-appreciation,2,true,true,true,false,ethereal-abstract,matches,wired,,keep,ios-native/Sources/PleasureVocabularyApp/Resources/media/illustrations/body-appreciation.png
ios-native/Sources/PleasureVocabularyApp/Resources/media/illustrations/body-appreciation.png,illustration,body-appreciation,psychological,ios-copy,207227,696758a28a4ec944,illustration:body-appreciation,2,false,false,false,false,ethereal-abstract,duplicate,,,consolidate-delete-copy,assets/images/concepts/illustrations/body-appreciation.png
assets/_originals/images/concepts/body-appreciation.png,other,body-appreciation,psychological,original,4629419,1a6cbd04ad4d6876,other:body-appreciation.png,1,false,false,false,false,ethereal-abstract,master-archive,,,keep-until-cut,
assets/images/concepts/thumbnails/body-appreciation.png,thumbnail,body-appreciation,psychological,production,406771,cc46872e6e81d4ae,thumbnail:body-appreciation,2,true,true,false,false,abstract-glyph,matches,wired,,keep,ios-native/Sources/PleasureVocabularyApp/Resources/media/thumbnails/body-appreciation.png
ios-native/Sources/PleasureVocabularyApp/Resources/media/thumbnails/body-appreciation.png,thumbnail,body-appreciation,psychological,ios-copy,406771,cc46872e6e81d4ae,thumbnail:body-appreciation,2,false,false,false,false,abstract-glyph,duplicate,,,consolidate-delete-copy,assets/images/concepts/thumbnails/body-appreciation.png
assets/images/concepts/illustrations/building.png,illustration,building,sensation,production,695990,30e61fbd9deeb733,illustration:building,2,true,true,true,false,scientific-warmth-plate,matches,wired,,keep,ios-native/Sources/PleasureVocabularyApp/Resources/media/illustrations/building.png
ios-native/Sources/PleasureVocabularyApp/Resources/media/illustrations/building.png,illustration,building,sensation,ios-copy,695990,30e61fbd9deeb733,illustration:building,2,false,false,false,false,scientific-warmth-plate,duplicate,,,consolidate-delete-copy,assets/images/concepts/illustrations/building.png
assets/_originals/images/concepts/building.png,other,building,sensation,original,4921760,1494bb1ccda06277,other:building.png,1,false,false,false,false,unknown,master-archive,,,keep-until-cut,
assets/images/concepts/thumbnails/building.png,thumbnail,building,sensation,production,287333,e7376f376d9b9510,thumbnail:building,2,true,true,false,false,abstract-glyph,matches,wired,,keep,ios-native/Sources/PleasureVocabularyApp/Resources/media/thumbnails/building.png
ios-native/Sources/PleasureVocabularyApp/Resources/media/thumbnails/building.png,thumbnail,building,sensation,ios-copy,287333,e7376f376d9b9510,thumbnail:building,2,false,false,false,false,abstract-glyph,duplicate,,,consolidate-delete-copy,assets/images/concepts/thumbnails/building.png
assets/videos/building.mp4,video,building,sensation,production,261848,80a9d7951d317fa3,video:building,4,true,true,true,false,motion,matches,wired,,keep,assets/videos/originals/building.mov; assets/videos/originals/building.mp4; ios-native/Sources/PleasureVocabularyApp/Resources/media/videos/building.mp4
assets/videos/originals/building.mov,video,building,sensation,video-original,5417746,653b5b72bb671850,video:building,4,false,false,false,false,motion,master-archive,,,keep-until-cut,assets/videos/building.mp4; assets/videos/originals/building.mp4; ios-native/Sources/PleasureVocabularyApp/Resources/media/videos/building.mp4
assets/videos/originals/building.mp4,video,building,sensation,video-original,1016805,01bd75b3629cb416,video:building,4,false,false,false,false,motion,master-archive,,,keep-until-cut,assets/videos/building.mp4; assets/videos/originals/building.mov; ios-native/Sources/PleasureVocabularyApp/Resources/media/videos/building.mp4
ios-native/Sources/PleasureVocabularyApp/Resources/media/videos/building.mp4,video,building,sensation,ios-copy,261848,80a9d7951d317fa3,video:building,4,false,false,false,false,motion,duplicate,,,consolidate-delete-copy,assets/videos/building.mp4; assets/videos/originals/building.mov; assets/videos/originals/building.mp4
assets/images/concepts/illustrations/clitoral-structure.png,illustration,clitoral-structure,anatomy,production,183610,af2a193e0acfdea5,illustration:clitoral-structure,2,true,true,true,false,scientific-anatomical,matches,wired,,keep,ios-native/Sources/PleasureVocabularyApp/Resources/media/illustrations/clitoral-structure.png
ios-native/Sources/PleasureVocabularyApp/Resources/media/illustrations/clitoral-structure.png,illustration,clitoral-structure,anatomy,ios-copy,183610,af2a193e0acfdea5,illustration:clitoral-structure,2,false,false,false,false,scientific-anatomical,duplicate,,,consolidate-delete-copy,assets/images/concepts/illustrations/clitoral-structure.png
assets/_originals/images/concepts/clitoral-structure.png,other,clitoral-structure,anatomy,original,5616878,45f75097463310a8,other:clitoral-structure.png,1,false,false,false,false,scientific-anatomical,master-archive,,,keep-until-cut,
assets/images/concepts/thumbnails/clitoral-structure.png,thumbnail,clitoral-structure,anatomy,production,558779,0a50d293a8275332,thumbnail:clitoral-structure,2,true,true,false,false,abstract-glyph,matches,wired,,keep,ios-native/Sources/PleasureVocabularyApp/Resources/media/thumbnails/clitoral-structure.png
ios-native/Sources/PleasureVocabularyApp/Resources/media/thumbnails/clitoral-structure.png,thumbnail,clitoral-structure,anatomy,ios-copy,558779,0a50d293a8275332,thumbnail:clitoral-structure,2,false,false,false,false,abstract-glyph,duplicate,,,consolidate-delete-copy,assets/images/concepts/thumbnails/clitoral-structure.png
assets/images/concepts/illustrations/clitourethrovaginal.png,illustration,clitourethrovaginal,anatomy,production,157206,2d291d0b52932ae2,illustration:clitourethrovaginal,2,true,true,true,false,scientific-anatomical,matches,wired,,keep,ios-native/Sources/PleasureVocabularyApp/Resources/media/illustrations/clitourethrovaginal.png
ios-native/Sources/PleasureVocabularyApp/Resources/media/illustrations/clitourethrovaginal.png,illustration,clitourethrovaginal,anatomy,ios-copy,157206,2d291d0b52932ae2,illustration:clitourethrovaginal,2,false,false,false,false,scientific-anatomical,duplicate,,,consolidate-delete-copy,assets/images/concepts/illustrations/clitourethrovaginal.png
assets/_originals/images/concepts/clitourethrovaginal.png,other,clitourethrovaginal,anatomy,original,439662,4e4e59a4cd0e84eb,other:clitourethrovaginal.png,1,false,false,false,false,scientific-anatomical,master-archive,,,keep-until-cut,
assets/images/concepts/thumbnails/clitourethrovaginal.png,thumbnail,clitourethrovaginal,anatomy,production,120027,55ba961b50da8254,thumbnail:clitourethrovaginal,2,true,true,false,false,abstract-glyph,matches,wired,,keep,ios-native/Sources/PleasureVocabularyApp/Resources/media/thumbnails/clitourethrovaginal.png
ios-native/Sources/PleasureVocabularyApp/Resources/media/thumbnails/clitourethrovaginal.png,thumbnail,clitourethrovaginal,anatomy,ios-copy,120027,55ba961b50da8254,thumbnail:clitourethrovaginal,2,false,false,false,false,abstract-glyph,duplicate,,,consolidate-delete-copy,assets/images/concepts/thumbnails/clitourethrovaginal.png
assets/_originals/images/explainers/communication-science-101.png,explainer,communication-science-101,,original,446267,26cb03019121efbe,explainer:communication-science-101.png,2,false,false,false,false,unknown,master-archive,,,keep-until-cut,assets/images/explainers/communication-science-101.png
assets/images/explainers/communication-science-101.png,explainer,communication-science-101,,shell-production,21635,2a4f8a87c8faba5b,explainer:communication-science-101.png,2,false,false,false,false,unknown,matches,,,review,assets/_originals/images/explainers/communication-science-101.png
assets/images/concepts/illustrations/edging.png,illustration,edging,sensation,production,397619,bbd3c14041b7e795,illustration:edging,2,true,true,true,false,scientific-warmth-plate,matches,wired,,keep,ios-native/Sources/PleasureVocabularyApp/Resources/media/illustrations/edging.png
ios-native/Sources/PleasureVocabularyApp/Resources/media/illustrations/edging.png,illustration,edging,sensation,ios-copy,397619,bbd3c14041b7e795,illustration:edging,2,false,false,false,false,scientific-warmth-plate,duplicate,,,consolidate-delete-copy,assets/images/concepts/illustrations/edging.png
